Country Name,Year,CO2,CO2_ton,Renewables,Electricity,Energy consumption,Country Code,PBI per capita,Poblacion,CO2_per_capita_ton,Energy_use_per_capita
China,1993,2646.393377586,2646393377.586,18.12526,838.399,929.3194416140001,CHN,377.38983947995837,1178440000.0,2.2456751108126,7.886014066172228e-07
India,1993,623.962846776,623962846.776,19.558813,360.845,338.026903065,IND,301.15901142645293,927403860.0,0.6728059626320727,3.644872720984793e-07
Indonesia,1993,182.994368046,182994368.046,19.77533,45.4,118.51970981400001,IDN,827.9053052805842,190851175.0,0.9588328080558058,6.210059215721361e-07
Japón,1993,1061.336616121,1061336616.1209999,12.929924,912.109,457.44694125,JPN,35765.91408867481,124536000.0,8.52232780979797,3.673210487328965e-06
Malasia,1993,70.162752994,70162752.994,14.027462,34.739,32.157254341,MYS,3433.1433782780164,19484898.0,3.600878639138886,1.6503681128328204e-06
Corea,1993,317.39731245999997,317397312.46,4.149461,144.814,124.98370733600001,KOR,8740.945602572405,44194628.0,7.1818075368798215,2.8280294006773856e-06
Tailandia,1993,111.150953403,111150953.403,5.840049,63.407000000000004,51.209504417999995,THA,2209.371831571597,58337773.0,1.9052999058260245,8.778104096980184e-07
Australia,1993,280.17939405100003,280179394.05100006,10.775435,163.65,91.413931784,AUS,17633.977951925754,17667000.0,15.858911759268697,5.174275869360956e-06
Nueva Zelanda,1993,23.435023979,23435023.979000002,77.02407,34.275,14.922145384,NZL,13094.345450263889,3572200.0,6.560389669951291,4.177298411063211e-06
Argelia,1993,59.190439138,59190439.138000004,1.709195,20.653,24.106088441,DZA,1807.3285484625833,27635515.0,2.1418250804444936,8.722865646252657e-07
Egipto,1993,81.831100581,81831100.581,21.936982,47.796,34.325776466,EGY,777.8577091217172,59880658.0,1.366569829292791,5.732364608618697e-07
Nigeria,1993,36.637484389,36637484.389,38.41434,14.505,73.52816121200001,NGA,270.2239614551638,102700753.0,0.35674017296640465,7.15945687486829e-07
Sudáfrica,1993,255.053971355,255053971.355,0.853434,174.70600000000002,93.685661714,ZAF,3388.729302975589,39633750.0,6.435272245371684,2.3637849487873342e-06
